# RIESGO_LAVADO - Diagnostico residual Unicode RIE_DESCRIPCION
# Fecha: 2026-09-24
# Fuente: salida read-only Oracle 11g sobre RL_MR_RIESGOS.RIE_DESCRIPCION
# No contiene DML. No es una fuente semantica; es evidencia de tokens corruptos observados.
TOTAL_TOKEN_OCCURRENCES=385
UNIQUE_BAD_TOKENS=180
AFFECTED_RISK_CODES=52

[OBSERVATIONS]
RCUMP-COMPRASCONTR-44 | Pol?ticamente
RCUMP-COMPRASCONTR-44 | actualizaci?n
RCUMP-COMPRASCONTR-44 | tecnol?gicas
RCUMP-COMPRASCONTR-44 | actualizaci?n
RCUMP-COMPRASCONTR-44 | peri?dica
RCUMP-COMPRASCONTR-44 | qu?
RCUMP-COMPRASCONTR-44 | pol?tica
RCUMP-COMPRASCONTR-44 | Vinculaci?n
RCUMP-COMPRASCONTR-44 | medi?tica
RCUMP-COMPRASCONTR-44 | corrupci?n
RCUMP-COMPRASCONTR-44 | cancelaci?n
RCUMP-COMPRASCONTR-44 | p?rdida
RCUMP-COMPRASGTIC-39 | dise?o
RCUMP-COMPRASGTIC-39 | integraci?n
RCUMP-COMPRASGTIC-39 | auditor?a
RCUMP-COMPRASGTIC-39 | corrupci?n
RCUMP-COMPRASGTIC-39 | inform?ticos
RCUMP-COMPRASGTIC-39 | digitalizaci?n
RCUMP-COMPRASGTIC-39 | inversi?n
RCUMP-COMPRASGTIC-39 | tecnolog?a
RCUMP-COMPRASGTIC-39 | Afectaci?n
RCUMP-COMPRASGTIC-39 | corrupci?n
RCUMP-COMPRASGTIC-39 | P?rdida
RCUMP-COMPRASGTIC-39 | cr?tica
RCUMP-COMPRASRRHH-26 | p?blicas
RCUMP-COMPRASRRHH-26 | d?divas
RCUMP-COMPRASRRHH-26 | jur?dicas
RCUMP-COMPRASRRHH-26 | tr?mites
RCUMP-COMPRASRRHH-26 | pol?ticas
RCUMP-COMPRASRRHH-26 | inter?s
RCUMP-COMPRASRRHH-26 | recepci?n
RCUMP-COMPRASRRHH-26 | ?tica
RCUMP-COMPRASRRHH-26 | interacci?n
RCUMP-COMPRASRRHH-26 | m?dicos
RCUMP-COMPRASRRHH-26 | jer?rquica
RCUMP-COMPRASRRHH-26 | anticorrupci?n
RCUMP-COMPRASRRHH-26 | presi?n
RCUMP-COMPRASRRHH-26 | P?rdida
RCUMP-COMPRASRRHH-26 | ciudadan?a
RCUMP-COMPRASRRHH-26 | il?citos
RCUMP-COMPRASRRHH-26 | distorsi?n
RCUMP-COMPRAS-24 | id?neos
RCUMP-COMPRAS-24 | Presi?n
RCUMP-COMPRAS-24 | Interrupci?n
RCUMP-COMPRAS-27 | Pol?ticamente
RCUMP-COMPRAS-27 | c?nyuge
RCUMP-COMPRAS-27 | uni?n
RCUMP-COMPRAS-28 | formalizaci?n
RCUMP-COMPRAS-28 | uni?n
RCUMP-COMPRAS-28 | inter?s
RCUMP-COMPRAS-28 | pol?tica
RCUMP-COMPRAS-28 | inter?s
RCUMP-COMPRAS-28 | Omisi?n
RCUMP-COMPRAS-28 | inter?s
RCUMP-COMPRAS-28 | pr?cticas
RCUMP-COMPRAS-28 | segregaci?n
RCUMP-COMPRAS-28 | Presi?n
RCUMP-COMPRAS-28 | Contrataci?n
RCUMP-COMPRAS-28 | p?rdida
RCUMP-COMPRAS-28 | p?blicos
RCUMP-COMPRAS-28 | il?citos
RCUMP-COMPRAS-29 | designaci?n
RCUMP-COMPRAS-29 | t?cnicos
RCUMP-COMPRAS-29 | comit?s
RCUMP-COMPRAS-29 | decisi?n
RCUMP-COMPRAS-29 | selecci?n
RCUMP-COMPRAS-29 | comit?s
RCUMP-COMPRAS-29 | inter?s
RCUMP-COMPRAS-29 | conformaci?n
RCUMP-COMPRAS-29 | comit?s
RCUMP-COMPRAS-29 | pr?cticas
RCUMP-COMPRAS-29 | rotaci?n
RCUMP-COMPRAS-29 | cr?ticas
RCUMP-COMPRAS-29 | da?o
RCUMP-COMPRAS-29 | trav?s
RCUMP-COMPRAS-30 | ?reas
RCUMP-COMPRAS-30 | p?blica
RCUMP-COMPRAS-30 | espec?ficos
RCUMP-COMPRAS-30 | pr?cticas
RCUMP-COMPRAS-30 | corrupci?n
RCUMP-COMPRAS-30 | segregaci?n
RCUMP-COMPRAS-30 | Presi?n
RCUMP-COMPRAS-30 | interpretaci?n
RCUMP-COMPRAS-30 | p?blica
RCUMP-COMPRAS-30 | inter?s
RCUMP-COMPRAS-30 | Colusi?n
RCUMP-COMPRAS-30 | auditor?a
RCUMP-COMPRAS-30 | pr?cticas
RCUMP-COMPRAS-30 | canalizaci?n
RCUMP-COMPRAS-31 | simult?neamente
RCUMP-COMPRAS-31 | elaboraci?n
RCUMP-COMPRAS-31 | inter?s
RCUMP-COMPRAS-31 | pol?ticas
RCUMP-COMPRAS-31 | segregaci?n
RCUMP-COMPRAS-31 | Concentraci?n
RCUMP-COMPRAS-31 | ?reas
RCUMP-COMPRAS-31 | Afectaci?n
RCUMP-COMPRAS-32 | m?ltiples
RCUMP-COMPRAS-32 | p?blico
RCUMP-COMPRAS-32 | s?
RCUMP-COMPRAS-32 | prop?sito
RCUMP-COMPRAS-32 | trav?s
RCUMP-COMPRAS-32 | an?lisis
RCUMP-COMPRAS-32 | tecnol?gicas
RCUMP-COMPRAS-32 | an?lisis
RCUMP-COMPRAS-32 | Omisi?n
RCUMP-COMPRAS-32 | Colusi?n
RCUMP-COMPRAS-34 | p?blicas
RCUMP-COMPRAS-34 | econ?mica
RCUMP-COMPRAS-34 | conformaci?n
RCUMP-COMPRAS-34 | comit?s
RCUMP-COMPRAS-34 | t?cnicos
RCUMP-COMPRAS-34 | pr?cticas
RCUMP-COMPRAS-34 | corrupci?n
RCUMP-COMPRAS-34 | aplicaci?n
RCUMP-COMPRAS-34 | Presi?n
RCUMP-COMPRAS-34 | p?blica
RCUMP-COMPRAS-34 | Intervenci?n
RCUMP-COMPRAS-34 | P?rdida
RCUMP-COMPRAS-34 | corrupci?n
RCUMP-COMPRAS-34 | Afectaci?n
RCUMP-COMPRAS-35 | garant?a
RCUMP-COMPRAS-35 | apropiaci?n
RCUMP-COMPRAS-35 | corrupci?n
RCUMP-COMPRAS-35 | utilizaci?n
RCUMP-COMPRAS-35 | pol?ticas
